airport_code,ident,airport_type,name,latitude,longitude,elevation,iata
2129,DRZF,small_airport,Diffa Airport,13.3729000092,12.6267004013,994,NE
2130,DRZR,medium_airport,Zinder Airport,13.7790002823,8.9837598801,1516,NE
2135,DTTD,medium_airport,Remada Air Base,32.3061981201,10.3821001053,1004,TN
2137,DTTG,medium_airport,Gab�s Matmata International Airport,33.8768997192,10.1033000946,26,TN
2139,DTTJ,medium_airport,Djerba Zarzis International Airport,33.875,10.7755002975,19,TN
2140,DTTR,medium_airport,El Borma Airport,31.7042999268,9.2546195984,827,TN
2142,DTTZ,medium_airport,Tozeur Nefta International Airport,33.9397010803,8.1105604172,287,TN
2143,DXNG,medium_airport,Niamtougou International Airport,9.7673301697,1.0912499428,1515,TG
2144,DXXX,medium_airport,Lom�-Tokoin Airport,6.1656098366,1.2545100451,72,TG
2145,DA10,small_airport,Illizi Airport,26.573600769,8.4836597443,1778,DZ
2146,DA11,small_airport,Hamaguir Airport,30.8789997101,-3.0677499771,2454,DZ
2147,DA12,small_airport,El Abiodh Sidi Cheikh Airport,32.8984985352,0.5246940255,2965,DZ
2148,DA13,small_airport,Tinfouchy Airport,28.8792991638,-5.8228998184,1804,DZ
2151,DA16,small_airport,Tindouf East Airport,27.585899353,-7.5001101494,1425,DZ
2354,HE11,small_airport,Badr El Din Airport,29.8743991852,27.9405994415,-62,EG
2357,HE14,small_airport,Ras Banas Airport,23.9741001129,35.4603004456,100,EG
2358,HE17,small_airport,Bir Abu Rahal Airport,24.9943008423,33.5009994507,995,EG
2359,HE18,small_airport,Habata Airport,31.1075000763,25.4521007538,670,EG
2360,HE19,small_airport,As Sallum Airport,31.4573001862,25.283700943,85,EG
2364,HE23,small_airport,Daraw Airport,24.4158000946,32.9557991028,325,EG
2366,HE25,small_airport,El Minya Airport,28.1012992859,30.7303009033,121,EG
2367,HE27,small_airport,Uthman Air Base,29.5552005768,25.5890007019,460,EG
2368,HE28,small_airport,Gebel El Basur Airport,30.5405006409,30.5601997375,85,EG
2370,HE30,small_airport,Kom Awshim Airport,29.5541000366,30.8950996399,,EG
2371,HE31,small_airport,Malan Frein Airport,29.8111000061,28.547700882,206,EG
